timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594391603664,49,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-793,,true,,13351,285,982,982,null,0,1878,0
1594391605541,49,catalog-0,200,,jp@gc - Ultimate Thread Group 1-793,text,true,,13351,285,982,982,http://localhost:8082/books/,49,0,1
1594391600521,1476,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-920,,true,,24061,1461,982,982,null,0,3595,0
1594391604785,610,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-653,,true,,18738,287,982,982,null,0,197,0
1594391603133,1314,review-0,200,,jp@gc - Ultimate Thread Group 1-920,text,true,,5323,1127,948,948,http://localhost:8082/login,213,0,1
1594391604982,610,book-0,200,,jp@gc - Ultimate Thread Group 1-653,text,true,,18738,287,982,982,http://localhost:8082/books/21,610,0,0
1594391605430,162,review-1,200,,jp@gc - Ultimate Thread Group 1-920,text,true,,18738,334,982,982,http://localhost:8082/books/21,162,0,1
1594391603225,575,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-77,,true,,6711,226,982,982,null,0,1795,0
1594391605020,575,Home-0,200,,jp@gc - Ultimate Thread Group 1-77,text,true,,6711,226,982,982,http://localhost:8082/,575,0,1
1594391603728,306,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-496,,true,,19784,287,982,982,null,0,1563,0
1594391605291,306,book-0,200,,jp@gc - Ultimate Thread Group 1-496,text,true,,19784,287,982,982,http://localhost:8082/books/25,305,0,1
1594391602955,74,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-818,,true,,13351,177,982,982,null,0,2568,0
1594391605522,74,Book category-0,200,,jp@gc - Ultimate Thread Group 1-818,text,true,,13351,177,982,982,http://localhost:8082/books/,74,0,1
1594391603654,37,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-490,,true,,13351,285,982,982,null,0,1907,0
1594391605561,37,catalog-0,200,,jp@gc - Ultimate Thread Group 1-490,text,true,,13351,285,982,982,http://localhost:8082/books/,36,0,1
1594391602714,259,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-846,,true,,7925,187,982,982,null,0,2635,0
1594391605349,259,Book category-0,200,,jp@gc - Ultimate Thread Group 1-846,text,true,,7925,187,982,982,http://localhost:8082/books/category/2,259,0,1
